lfdn,external_lfdn,tester,dispcode,lastpage,quality,duration,c_0001,c_0002,c_0003,c_0004,c_0005,c_0006,c_0007,p_0001,v_19,v_258,v_42,v_21,v_22,v_23,v_24,v_25,v_28,v_30,v_31,v_32,v_33,v_34,v_35,v_37,v_38,v_39,v_36,v_200,v_201,v_202,v_203,v_204,v_205,v_153,v_154,v_155,v_156,v_157,v_158,v_181,v_182,v_183,v_184,v_185,v_186,v_187,v_188,v_189,v_190,v_191,v_192,v_193,v_194,v_195,v_196,v_197,v_198,v_177,v_180,v_178,v_179,v_11,v_12,v_13,v_14,v_15,v_16,v_86,v_87,v_88,v_17,v_248,v_199,v_250,v_246,v_231,v_232,v_233,v_206,v_207,v_208,v_209,v_210,v_211,v_213,v_214,v_215,v_216,v_217,v_220,v_221,v_222,v_223,v_259,v_260,v_261,v_262,v_263,v_264,v_265,browser,referer,device_type,participant_browser,participant_browser_version,participant_os,participant_device,participant_brand,participant_model,participant_isbot,participant_continent,participant_country,participant_region,participant_city,participant_latitude,participant_longitude,quota,quota_assignment,quota_rejected_id,page_history,hflip,vflip,output_mode,javascript,flash,session_id,language,cleaned,ats,datetime,date_of_last_access,date_of_first_mail,rts5873422,rts5873424,rts5873425,rts5873427,rts5873428,rts5873429,rts5873430,rts5873431,rts5873432,rts5873433,rts5873435,rts5873436,rts5873437,rts5873438,rts5873439,rts5873441,rts5873442,rts5873444,rts5873445,rts5873447,rts5873449,rts5873452,rts5873453,rts5873454,rts5873456,rts5873457,rts5873458
3623,0,0,31,5873462,-77,320,-66,-66,Li-Ming Yang ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. ,"Omar Ceylan ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Verwaltungsangestellter in einer großen Firma. Durch die aktuelle Lage arbeitet er zurzeit im Home Office. Omar fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Omar ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.",Nina Müller ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus.,"Elif Ceylan ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Kassiererin im lokalen Supermarkt. Elif fand vor drei Wochen heraus, dass sie sich mit COVID-19 infiziert hat. Elif ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.",-66,babb0112a2ade73babb43a3204073c36,2,62,2,3,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,2,0,0,0,0,0,1,2,2,2,2,2,2,2,2,3,3,3,3,1,1,1,1,1,1,2,2,3,3,3,3,4,4,4,2,1,1,1,1,1,1,1,1,0,3,2,1,-77,7,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",https://mingle.respondi.com/,0,19,90.0.4430.93,58,0,-99,-99,0,0,0,-99,-99,-66,-66,1,"1,5,7,11,12",0,"587,342,258,734,245,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",1,1,0,-77,-77,25a2c9c652a2fa5d8e51fae00dc124c7,1,0,1620231323,5/5/2021 16:15,5/5/2021 16:20,0000-00-00 00:00:00,11,29,46,53,59,66,119,168,195,233,252,290,298,305,313,0,321,0,0,0,0,0,0,0,0,0,0
3625,0,0,31,5873462,-77,649,-66,-66,"Elif Ceylan ist 43 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. Elif fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Maximilian Müller ist 43 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Maximilian fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Maximilian ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.","Li-Ming Yang ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Kassiererin im lokalen Supermarkt. Li-Ming fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Li-Lei Yang ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Li-Lei fand gestern heraus, dass er mit COVID-19 infiziert ist.",-66,fddcfd74742fc9e5edbd0d88434a879d,2,41,9,3,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,1,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,2,0,0,0,0,0,0,1,1,0,2,2,3,1,6,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 Edg/90.0.818.51",https://mingle.respondi.com/,0,127,90.0.818.51,58,0,-99,-99,0,0,0,-99,-99,-66,-66,1,"1,4,7,11,12",0,"5,873,422,587,342,450,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,1,0,-77,-77,5ebe25006375562ca6b67263019a1032,1,0,1620233003,5/5/2021 16:43,5/5/2021 16:54,0000-00-00 00:00:00,10,40,73,316,326,328,442,580,588,596,605,632,636,639,643,647,649,0,0,0,0,0,0,0,0,0,0
3627,0,0,31,5873462,-77,843,-66,-66,"Elif Ceylan ist 43 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus. Elif fand vor drei Wochen heraus, dass sie sich mit COVID-19 infiziert hat. Elif ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.","Elif Ceylan ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. Elif fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Li-Lei Yang ist 43 Jahre alt. Er arbeitet derzeit Vollzeit als Verwaltungsangestellter in einer großen Firma. Durch die aktuelle Lage arbeitet er zurzeit im Home Office. Li-Lei fand gestern heraus, dass er mit COVID-19 infiziert ist.",Maximilian Müller ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Kassierer im lokalen Supermarkt.,"Als Sie mit Ihren Freunden und Ihrer Familie über Ihren bevorstehenden Autokauf sprechen, erfahren Sie, dass die meisten von ihnen sich für Programm C entschieden haben. Welches Programm würden Sie wählen?",fc10d33d252e13ec5b4eaeb03bdefa1e,1,54,16,4,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,2,0,1,0,0,0,0,3,2,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,1,1,1,1,1,1,2,3,3,3,1,1,1,1,1,1,1,1,0,4,2,3,3,6,1,3,-77,3,1,0,0,1,0,0,0,1,0,0,3,2,-77,5,3,4,2,2,4,3,3,"Mozilla/5.0 (Linux; Android 10; SM-A600FN) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.91 Mobile Safari/537.36",https://mingle.respondi.com/,0,22,90.0.4430.91,2,1,145,2725,0,0,0,-99,-99,-66,-66,2,"2,4,8,10",0,"5873422,5873424,5873492,5873495,5873425,5875766,5873498,5873427,5873428,5873500,5873429,5873430,5873431,5873432,5873433,5873435,5873436,5873437,5873438,5873439,5873440,5873441,5873442,5873443,5873444,5873445,5873446,5873447,5873448,5873452,5873453,5873454,5873455,5873457,5873458,5873462",0,1,0,-77,-77,d1d4f1840eeae41e9a487a30219b3773,1,0,1620233518,5/5/2021 16:51,5/5/2021 17:06,0000-00-00 00:00:00,16,34,56,64,76,82,149,178,205,226,243,270,282,286,296,302,310,363,428,643,0,706,757,769,0,782,843
3628,0,0,31,5873462,-77,377,-66,-66,"Elif Ceylan ist 43 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. Elif fand gestern heraus, dass sie mit COVID-19 infiziert ist.",Omar Ceylan ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Kassierer im lokalen Supermarkt.,Omar Ceylan ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus.,"Elif Ceylan ist 64 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus. Elif fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Einer repräsentativen Statistik können Sie entnehmen, dass sich die Mehrheit der Bevölkerung für Programm C entschieden hat. Welches Programm würden Sie wählen?",3276ac4ba5d5bc796f16693248bbca86,1,63,7,3,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,2,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,3,2,1,-77,11,3,-77,-77,2,2,0,1,0,0,0,1,0,0,0,3,1,2,1,5,3,3,3,3,3,3,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",https://mingle.respondi.com/,0,19,90.0.4430.93,58,0,-99,-99,0,0,0,-99,-99,-66,-66,2,"2,5,7,11",0,"5873422,5873424,5873492,5873495,5873425,5873425,5873425,5875766,5873498,5873427,5873428,5873500,5873429,5873430,5873431,5873432,5873433,5873435,5873436,5873437,5873438,5873439,5873440,5873442,5873443,5873444,5873445,5873446,5873452,5873453,5873454,5873455,5873456,5873457,5873458,5873462",0,1,0,-77,-77,c7ddb723888107f39499c36cb44f8bcb,1,0,1620233585,5/5/2021 16:53,5/5/2021 16:59,0000-00-00 00:00:00,5,39,74,88,97,102,142,171,195,217,232,250,257,264,271,0,276,282,299,0,0,304,324,335,342,351,377
3630,0,0,31,5873462,-77,833,-66,-66,"Maximilian Müller ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Maximilian fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Maximilian ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.","Omar Ceylan ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Kassierer im lokalen Supermarkt. Omar fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Omar ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.","Li-Ming Yang ist 64 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus. Li-Ming fand gestern heraus, dass sie mit COVID-19 infiziert ist.",Maximilian Müller ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus.,"Als Sie mit Ihren Freunden und Ihrer Familie über Ihren bevorstehenden Autokauf sprechen, erfahren Sie, dass die meisten von ihnen sich für Programm B entschieden haben. Welches Programm würden Sie wählen?",242330f616a319fec886d0a0a732d526,2,68,2,3,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,2,1,1,0,0,0,0,2,1,4,2,4,4,2,2,4,3,4,4,2,4,4,2,4,4,1,1,3,2,3,2,2,3,4,2,0,1,1,0,1,1,0,1,0,4,2,1,-77,5,1,3,-77,3,1,0,0,1,0,0,0,1,0,0,3,2,-77,1,5,4,4,5,5,5,2,"Mozilla/5.0 (Linux; Android 10; SM-G960F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.95 Mobile Safari/537.36",https://mingle.respondi.com/,0,22,90.0.4430.95,2,1,145,2712,0,0,0,-99,-99,-66,-66,1,"1,5,7,11",0,"5873422,5873424,5873492,5873495,5873425,5875766,5873498,5873427,5873428,5873500,5873429,5873430,5873431,5873432,5873433,5873433,5873435,5873436,5873437,5873438,5873439,5873440,5873442,5873443,5873444,5873445,5873446,5873447,5873446,5873447,5873448,5873452,5873453,5873454,5873455,5873457,5873458,5873462",1,0,0,-77,-77,ecad7c89bdbef8ecfc13ad6d37c21271,1,0,1620234886,5/5/2021 17:14,5/5/2021 17:28,0000-00-00 00:00:00,9,27,50,61,75,77,152,207,376,435,455,490,501,505,510,0,520,573,649,669,0,695,743,752,0,773,833
3631,0,0,31,5873462,-77,401,-66,-66,"Li-Lei Yang ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Li-Lei fand gestern heraus, dass er mit COVID-19 infiziert ist.",Li-Ming Yang ist 43 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus.,"Omar Ceylan ist 43 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Omar fand gestern heraus, dass er mit COVID-19 infiziert ist.",Li-Lei Yang ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus..,-66,f653a4b1b88b59070038b98892234e47,1,53,10,4,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,2,0,0,0,0,0,1,2,3,4,4,4,4,1,1,1,2,2,2,2,3,4,4,3,4,1,2,2,2,2,3,3,3,4,4,0,1,0,1,0,0,0,1,0,3,1,3,1,6,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36",https://mingle.respondi.com/,0,19,90.0.4430.93,58,0,-99,-99,0,0,0,-99,-99,-66,-66,2,"2,4,8,11,12",0,"5,873,422,587,342,450,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,0,0,-77,-77,6a1a99a8035b7b11f29ff6f18d3b2213,1,0,1620235040,5/5/2021 17:17,5/5/2021 17:24,0000-00-00 00:00:00,18,35,55,62,66,72,134,195,252,288,305,357,369,374,389,395,401,0,0,0,0,0,0,0,0,0,0
3632,0,0,31,5873462,-77,660,-66,-66,"Elif Ceylan ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. Elif fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Maximilian Müller ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Maximilian fand gestern heraus, dass er mit COVID-19 infiziert ist.","Li-Ming Yang ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Kassiererin im lokalen Supermarkt. Li-Ming fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Nina Müller ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. Nina fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Einer repräsentativen Statistik können Sie entnehmen, dass sich die Mehrheit der Bevölkerung für Programm C entschieden hat. Welches Programm würden Sie wählen?",ff243b66c6cf642a58653ae7b1619d7e,2,71,10,4,-99,0,0,0,1,0,0,0,0,-99,0,1,0,0,2,0,1,0,0,0,0,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,4,3,1,1,1,1,1,1,1,1,0,4,1,3,4,4,3,-77,-77,3,1,0,0,1,0,0,0,1,0,0,3,1,5,2,3,4,4,4,3,2,1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.93 Safari/537.36 Edg/90.0.818.51",https://mingle.respondi.com/,0,127,90.0.818.51,58,0,-99,-99,0,0,0,-99,-99,-66,-66,1,"1,5,8,11",0,"5873422,5873424,5873492,5873495,5873425,5875766,5873498,5873427,5873428,5873500,5873429,5873430,5873431,5873432,5873433,5873435,5873436,5873437,5873438,5873439,5873440,5873441,5873442,5873443,5873444,5873445,5873446,5873452,5873453,5873454,5873455,5873456,5873457,5873458,5873462",1,1,0,-77,-77,837ff9207a2e855905f667706f14554f,1,0,1620235218,5/5/2021 17:20,5/5/2021 17:31,0000-00-00 00:00:00,5,28,53,60,66,70,124,158,186,214,235,270,283,289,299,306,314,345,513,0,0,549,585,601,609,625,660
3633,0,0,31,5873462,-77,220,-66,-66,"Maximilian Müller ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Kassierer im lokalen Supermarkt. Maximilian fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Maximilian ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.",Nina Müller ist 64 Jahre alt. Sie arbeitet derzeit Vollzeit als Kassiererin im lokalen Supermarkt.,Elif Ceylan ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus.,"Omar Ceylan ist 43 Jahre alt. Er arbeitet derzeit Vollzeit als Verwaltungsangestellter in einer großen Firma. Durch die aktuelle Lage arbeitet er zurzeit im Home Office. Omar fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Omar ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.",-66,61274f6a480bcbaf2c20700278e2367c,2,59,9,4,-99,0,0,1,0,0,0,0,0,-99,0,1,0,0,2,0,0,0,0,0,1,4,3,4,4,4,4,4,3,3,4,4,4,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,3,1,1,1,1,1,1,1,1,0,4,2,1,-77,4,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,https://mingle.respondi.com/,0,36,88,58,0,-99,-99,0,0,0,-99,-99,-66,-66,1,"1,4,8,11,12",0,"587,342,258,734,245,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,1,0,-77,-77,ea2b75b580b6173bd28a85966878cb03,1,0,1620235252,5/5/2021 17:20,5/5/2021 17:24,0000-00-00 00:00:00,6,23,34,43,47,52,92,116,141,162,177,198,204,209,215,0,220,0,0,0,0,0,0,0,0,0,0
3634,0,0,31,5873462,-77,383,-66,-66,"Li-Lei Yang ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Verwaltungsangestellter in einer großen Firma. Durch die aktuelle Lage arbeitet er zurzeit im Home Office. Li-Lei fand gestern heraus, dass er mit COVID-19 infiziert ist.",Li-Lei Yang ist 22 Jahre alt. Er arbeitet derzeit Vollzeit als Verwaltungsangestellter in einer großen Firma. Durch die aktuelle Lage arbeitet er zurzeit im Home Office. ,"Li-Lei Yang ist 64 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus. Li-Lei fand vor drei Wochen heraus, dass er sich mit COVID-19 infiziert hat. Li-Lei ließ sich in der letzten Woche zweimal auf COVID-19 testen. Beide Tests fielen negativ aus.","Nina Müller ist 64 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus. Nina fand gestern heraus, dass sie mit COVID-19 infiziert ist.","Einer repräsentativen Statistik können Sie entnehmen, dass sich die Mehrheit der Bevölkerung für Programm B entschieden hat. Welches Programm würden Sie wählen?",0362c5acf9cd22824372e0a9fc4bfb32,2,40,1,6,-99,0,0,1,0,0,0,1,0,-99,0,1,0,0,2,0,1,0,0,0,0,4,4,4,4,4,4,1,4,4,4,4,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,0,0,0,0,1,0,0,1,0,4,1,3,1,11,1,2,3,3,2,0,0,0,1,0,0,0,1,0,3,2,-77,5,1,3,4,4,4,1,1,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:88.0) Gecko/20100101 Firefox/88.0,https://mingle.respondi.com/,0,36,88,58,0,-99,-99,0,0,0,-99,-99,-66,-66,1,"1,4,9,11",0,"5873422,5873424,5873492,5873495,5873425,5875766,5873498,5873427,5873428,5873500,5873429,5873430,5873431,5873432,5873433,5873435,5873436,5873437,5873438,5873439,5873440,5873441,5873442,5873443,5873444,5873445,5873446,5873447,5873448,5873449,5873450,5873452,5873453,5873454,5873455,5873457,5873458,5873462",1,0,0,-77,-77,ad865402127c8081008e541936f7911c,1,0,1620235370,5/5/2021 17:22,5/5/2021 17:29,0000-00-00 00:00:00,4,16,42,49,59,63,103,129,151,165,179,223,236,240,245,252,256,262,269,275,279,288,321,330,0,343,383
3635,0,0,31,5873462,-77,267,-66,-66,"Li-Ming Yang ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Krankenpflegerin im städtischen Krankenhaus. Li-Ming fand gestern heraus, dass sie mit COVID-19 infiziert ist.",Maximilian Müller ist 43 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus.,"Elif Ceylan ist 22 Jahre alt. Sie arbeitet derzeit Vollzeit als Verwaltungsangestellte in einer großen Firma. Durch die aktuelle Lage arbeitet sie zurzeit im Home Office. Elif fand gestern heraus, dass sie mit COVID-19 infiziert ist.",Li-Lei Yang ist 43 Jahre alt. Er arbeitet derzeit Vollzeit als Krankenpfleger im städtischen Krankenhaus.,-66,eb9bb0745b1c12c8af64f736e22bb9c9,1,63,4,3,-99,1,0,1,1,0,0,0,0,-99,0,1,0,0,2,0,0,0,0,0,1,2,1,4,4,3,4,1,1,2,4,2,2,2,1,4,4,4,4,1,1,1,4,1,1,2,3,3,3,1,1,0,1,1,1,0,1,0,3,2,3,4,7,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,-77,"Mozilla/5.0 (Linux; Android 10; SM-G960F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.91 Mobile Safari/537.36",https://mingle.respondi.com/,0,22,90.0.4430.91,2,1,145,2712,0,0,0,-99,-99,-66,-66,2,"2,5,7,10,12",0,"5,873,422,587,342,450,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000,000",0,1,0,-77,-77,8d1d0ab13bdb36d00a874aa1cf23bae0,1,0,1620235372,5/5/2021 17:22,5/5/2021 17:27,0000-00-00 00:00:00,22,36,57,63,68,72,106,131,160,188,201,230,241,245,255,260,267,0,0,0,0,0,0,0,0,0,0
